student_id,archetype,mood_score,sleep_hours,study_hours,attendance_pct,internal_marks_avg,days_to_next_exam,assignment_deadlines,placement_anxiety,gate_cat_prep,family_stress,social_isolation,physical_activity_hrs,social_media_hours,burnout_score,burnout_risk_level
STU-0001,struggling,4.7,4.3,4.5,80.3,49.2,86,8,1,1,1,0,0.2,7.2,78.84,Critical
STU-0002,balanced,6.7,7.4,4.9,78.3,76.9,3,8,0,1,0,0,0.4,0.8,47.82,Moderate
STU-0003,balanced,6.2,7.3,4.4,70.7,86.7,0,2,0,0,0,0,1.1,1.8,33.27,Moderate
STU-0004,struggling,3.2,4.6,1.8,66.5,44.8,11,6,1,1,0,1,0.2,3.9,93.22,Critical
STU-0005,balanced,7.2,6.2,6.5,72.2,76.7,68,1,0,0,0,0,0.4,1.0,29.27,Low
STU-0006,at_risk,3.2,3.7,1.8,43.5,20.3,46,3,1,0,0,1,0.0,5.3,90.63,Critical
STU-0007,high_achiever,8.1,5.3,7.4,89.1,80.9,29,1,1,1,0,0,1.2,1.9,41.26,Moderate
STU-0008,overworked,4.2,4.7,10.0,87.8,65.2,85,4,1,0,1,0,0.3,1.3,57.3,High
STU-0009,high_achiever,8.5,7.4,6.9,96.0,87.2,31,2,0,1,0,0,0.7,1.6,29.07,Low
STU-0010,overworked,5.4,6.6,6.0,86.2,70.9,41,0,1,0,0,0,0.3,2.3,35.11,Moderate
STU-0011,balanced,7.0,7.3,7.3,77.9,68.5,72,5,1,0,0,0,1.0,2.3,35.42,Moderate
STU-0012,balanced,6.7,7.4,5.6,89.7,69.4,17,3,0,0,0,0,1.1,1.6,23.06,Low
STU-0013,high_achiever,8.0,6.7,7.0,89.8,76.5,46,3,0,0,0,0,0.8,1.2,23.68,Low
STU-0014,at_risk,2.3,3.9,4.8,50.6,41.1,19,2,1,0,0,0,0.1,2.4,70.26,High
STU-0015,high_achiever,7.8,8.2,6.8,92.5,84.8,67,4,0,1,0,0,0.5,2.0,29.34,Low
